mode,scope,group,metric,n,mean,median,SD,min,max,q05,q10,q25,q75,q90,q95
optimizer_only,profiles,G,Jaccard,20,0.8544646840579186,0.8920223694538068,0.14985975951799219,0.4294642857142857,1.0,0.4502415174726221,0.7612325768060523,0.8562448638629181,0.9389993256283984,0.954380648459661,0.9630879345603273
optimizer_only,profiles,G,within_pair_coassignment,20,0.86535043966203,0.9423129017693979,0.1587552837739865,0.48332724184636555,1.0,0.5021912153591469,0.6429159589792102,0.7927079526153978,0.9723674026616215,0.9960641111087223,0.9980310880829015
combined,pairs,A/B,cross_coassignment,50,0.03972065421913446,0.0,0.1819767002608451,0.0,0.9266174554928355,0.0,0.0,0.0,0.0047944709798813144,0.014184397163120567,0.014184397163120567
combined,pairs,A/C,cross_coassignment,50,0.10203961848862803,0.011983370017119101,0.21015937129826542,0.0,0.9244314013206163,0.0,0.0,0.002384446074834923,0.03967962827097089,0.27314746881878216,0.6170212765957445
combined,pairs,A/D,cross_coassignment,50,0.230527047698512,0.01870393547489918,0.38963732339406104,0.0002781254345709915,0.9929078014184397,0.00054698002132295,0.006508135168961202,0.007358735456357484,0.0975177304964539,0.9609929078014185,0.977008297408798
combined,pairs,A/E,cross_coassignment,50,0.06885914741096621,0.01294516891634256,0.19657233904649027,0.0,0.9361702127659575,0.00022878059940517045,0.0017349195454892097,0.0066632349576755895,0.014251124837947075,0.07469686570578853,0.36766948829405927
combined,pairs,A/F,cross_coassignment,50,0.2074153599236558,0.08661374628581343,0.26630549687998784,0.005921009824972347,0.9625436484698636,0.012575097056846033,0.015613681219771403,0.03279328518446223,0.29554622942286424,0.5368273797904874,0.8669041577200857
combined,pairs,A/G,cross_coassignment,50,0.04176077609965825,0.0010289200014698856,0.18372675487647708,0.0,0.9332598390475141,0.0,0.0,5.3283357218976226e-05,0.0050288465071840665,0.02683202880976004,0.03542424576489178
combined,pairs,B/C,cross_coassignment,50,0.030541871921182268,0.0,0.1520248442230278,0.0,0.844475721323012,0.0,0.0,0.0,0.0,0.0,0.0
combined,pairs,B/D,cross_coassignment,50,0.04426437241563292,0.0,0.1930548418015834,0.0,0.9833266639989329,0.0,0.0,0.0,0.006535947712418301,0.0196078431372549,0.058496732026143625
combined,pairs,B/E,cross_coassignment,50,0.4655859117840684,0.39532587228439764,0.393857175090328,0.0,1.0,0.0,0.009622558700899717,0.08602150537634409,0.9717741935483871,0.9946236559139785,0.9975806451612903
combined,pairs,B/F,cross_coassignment,50,0.0390245272420895,0.0,0.19095836390739013,0.0,0.9676090619734132,0.0,0.0,0.0,0.0,0.0005336079385882869,0.008038444735692431
combined,pairs,B/G,cross_coassignment,50,0.03920376440731733,0.0,0.19400964334843876,0.0,0.983641746854182,0.0,0.0,0.0,0.0,0.0,0.0
combined,pairs,C/D,cross_coassignment,50,0.06633761550597252,0.0,0.21098508233347943,0.0,0.9188640973630832,0.0,0.0,0.0,0.0,0.10344827586206896,0.6354518819021858
combined,pairs,C/E,cross_coassignment,50,0.03280682239525399,0.0,0.15436022950648443,0.0,0.8620689655172413,0.0,0.0,0.0,0.0,0.0028364849833148135,0.034176863181312536
combined,pairs,C/F,cross_coassignment,50,0.11299799641463673,0.024517557734894023,0.21032885707605375,0.0,0.9042497100073816,0.001318148265316883,0.0025202994832858798,0.00719708952863018,0.12633132974797004,0.282157545080671,0.6152167035748177
